playlist_id,playlist_title
PLUaB-1hjhk8FEghrGL0WO0Nc9jzG6J8s-,Data Fundamentals for Beginners
PLUaB-1hjhk8G0dEE2QuFw-qiMX6cRH-7t,AWS Fundamentals for Analysts
PLUaB-1hjhk8HYjVA_8gvl2StVvVGr4yoK,Azure Fundamentals for Analysts
PLUaB-1hjhk8GuvN7Yym7iNJps0y4DehhN,Learn Shiny for Python
PLUaB-1hjhk8GbuwvxkmPeKFDUUTkxP9M1,All Things Analyst Builder
PLUaB-1hjhk8G5zci4HA8E21x2BJS3jzNm,Intermediate MySQL Tutorial Series
PLUaB-1hjhk8GjfgvWlreA6BvTvazz8RHG,Advanced MySQL Tutorial Series
PLUaB-1hjhk8Fm_xpyeN4292wgE542Jy17,SQL Technical Interview Prep
PLUaB-1hjhk8Fq6RBY-3MQ5MCXB5qxb8VA,MySQL Basics Tutorial Series
PLUaB-1hjhk8G-xVXA5FxT2cLNzd87GInr,Python Web Scraping Basics
PLUaB-1hjhk8EwZgCwBP36HH-SLJk4RaWp,Python Regular Expression
PLUaB-1hjhk8GZOuylZqLz-Qt9RIdZZMBE,Pandas for Beginners
PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,Data Analyst Bootcamp
PLUaB-1hjhk8GnKlCG7I-I1tGxiB46SPWA,Python Projects for Beginners
PLUaB-1hjhk8GHKfndKjyDMHPg_HlQ4vpK,Python for Beginners
PLUaB-1hjhk8HqnmK0gQhfmIdCbxwoAoys,Power BI Tutorials for Beginners
PLUaB-1hjhk8Hyd5NiPQ9CND82vNodlFF5,Excel Tutorials for Data Analysts
PLUaB-1hjhk8GwbqoVmo_5zuhOa0Tcl3xC,Tableau Tutorials For Beginners
PLUaB-1hjhk8FTfqkVoJqcU3p3E9klHqMq,Data Analyst Courses
PLUaB-1hjhk8H48Pj32z4GZgGWyylqv85f,Data Analyst Portfolio Projects
PLUaB-1hjhk8EBZNL4nx4Otoa5Wb--rEpU,Advanced SQL Tutorials
PLUaB-1hjhk8GmBL-AtxMST9PXEOX4LEK-,Alex The Analyst Show
PLUaB-1hjhk8FA2oZEtdceo-TfVMYvpdWP,Data Analyst Q&A
PLUaB-1hjhk8HT06GYlgmi494El50gzlYq,Data Analyst Interview Questions
PLUaB-1hjhk8HTgPnBukmMq7QTe83ANirL,Intermediate SQL Tutorials
PLUaB-1hjhk8GT6N5ne2qpf603sF26m2PW,SQL Basics for Data Analysts
PLUaB-1hjhk8GcHqTCT3dNCa52xSDP_VEY,Data Analyst Resume
