title,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
Twitter making me tear up over here 🥹,Friday,Morning,16,7502,305,16.0,1.0,[],0
#DataAnalyst #AnalystBuilder #SQL,Friday,Morning,38,21921,1515,47.0,4.0,[],0
What is Healthcare Analytics?,Tuesday,Morning,656,26399,1303,220.0,11.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
1 Million Subscriber Livestream!! Giveaways + Chat,Wednesday,Afternoon,6014,10268,675,98.0,7.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",Tuesday,Morning,916,8534,402,81.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Become a Healthcare Analyst in 2025,Tuesday,Morning,1072,26547,1331,235.0,12.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Live Data Analyst Q&A #3,Saturday,Morning,3738,3100,100,2.0,1.0,[],0
Nobody cares... so just do it!,Thursday,Morning,36,18565,1828,79.0,8.0,[],0
Data Analyst vs Business Analyst,Friday,Morning,59,131403,6998,215.0,12.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Lie with Data | Biased Data Collection,Tuesday,Morning,262,3094,100,62.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Lie with Data | Correlations,Tuesday,Morning,213,3258,126,58.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Lie with Data | Cherry Picking Data,Tuesday,Morning,252,3645,152,57.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Lie with Data | Averages,Tuesday,Morning,407,4150,216,59.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Data Analyst Interviews | Salary Negotiation,Wednesday,Morning,337,27727,857,16.0,1.0,"['data analyst', 'how to become a data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'data analyst with no experience', 'data analyst with no degree', 'data analyst salary', 'data analyst salary negotation', 'salary negotiation', 'how to negotiate salary']",0
Top 5 Most Common Excel Functions in Excel,Tuesday,Morning,1007,8957,379,25.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
#DataAnalysis #DataAnalyst,Thursday,Morning,53,20759,1485,32.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Data Analyst Q/A Livestream + Special Guest! | December Livestream,Saturday,Morning,4968,5107,166,6.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,Friday,Morning,3728,4749,191,4.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', '100k livestream', 'alex the analyst 100k']",0
Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,Thursday,Morning,1665,15504,497,10.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'data analyst industries', 'data science industries', 'best data analyst industries', 'best data science industries', 'data industries', 'best data industries']",0
Intermediate SQL Tutorial | Aliasing,Thursday,Morning,372,155782,4098,85.0,3.0,"['data analyst', 'how to become a data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'data analyst with no degree', 'sql aliasing', 'aliasing in sql', 'data analyst sql']",0
SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,Saturday,Evening,577,1472325,18688,761.0,10.0,"['data analyst', 'how to become a data analyst', 'data analyst job', 'data analytics', 'sql basics', 'basics of sql', 'sql for beginners', 'sql basics for beginners', 'sql for data analysts', 'sql tutorial', 'sql tutorial for beginnners', 'sql for data analysts', 'sql for data analyst', 'sql beginner tutorial', 'sql server management studio', 'sql server management studio tutorial', 'sql create table', 'sql create table tutorial', 'sql insert into', 'sql insert into tutorial', 'sql basics for data analysts']",0
Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,Wednesday,Morning,454,26059,853,14.0,1.0,"['data analyst', 'how to become a data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'data analyst salary', 'data analyst salary 2020', 'data analyst fact check', 'data analyst fact checking', 'the career force', 'data analyst the career force']",0
Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,Friday,Afternoon,360,15125,643,8.0,1.0,"['data analyst', 'how to become a data analyst', 'data analyst jobs', 'data analyst job', 'working with a recruiter', 'working with a linkedin recruiter', 'using recruiter to get job', 'how to work with a recruiter', 'data analyst recruiter', 'data analyst skills', 'linkedin recruiter']",0
250k Subscriber Live Stream!!,Tuesday,Morning,4539,4168,156,4.0,1.0,"['alex the analyst', 'live stream', '250k subscriber live stream']",0
We did our best,Thursday,Morning,9,7119,239,15.0,1.0,[],0
#wife #careerchange #dataanalysis,Friday,Morning,59,20874,1940,31.0,3.0,[],0
What are KPIs and Metrics? | Data Fundamental for Beginners,Tuesday,Morning,346,17079,871,111.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
What is Data? | Data Fundamentals for Beginners,Tuesday,Morning,416,17412,812,108.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,Tuesday,Morning,2092,8751,303,52.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Most Commonly Asked Questions by Aspiring Data Analysts,Tuesday,Morning,718,14890,722,85.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
My Career Progression 7+ Years | Recreational Therapist to Data Analyst | Alex The Analyst Show 27,Tuesday,Morning,2237,8451,373,47.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",Tuesday,Morning,6097,21144,642,108.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",Tuesday,Morning,4637,15159,377,75.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Ultimate Data Analyst Bootcamp [24 Hours!] for FREE | SQL, Excel, Tableau, Power BI, Python, Azure",Tuesday,Early Morning,84768,558080,23849,2938.0,126.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'data analyst bootcamp', 'free data analyst bootcamp', 'data bootcamp', 'sql bootcamp', 'python bootcamp', 'excel bootcamp', 'bootcamp']",1
200k Livestream! | Shaving | Puppies | Giveaway,Thursday,Morning,4892,3184,133,3.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', '200k livestream']",0
Advanced SQL Tutorial | String Functions + Use Cases,Thursday,Morning,829,189554,4623,119.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'string functions', 'sql string functions', 'string functions in sql']",0
Intermediate SQL Tutorial | Updating/Deleting Data,Thursday,Morning,277,159276,3528,85.0,2.0,"['data analyst', 'how to become a data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'data analyst with no experience', 'data analyst with no degree', 'sql update', 'sql delete', 'sql update and delete', 'delete sql', 'update sql', 'update and delete in sql', 'sql updating', 'sql delete data', 'intermediate sql tutorial', 'intermediate sql']",0
Installing R and R Studio | R for Data Analytics Series,Tuesday,Morning,359,259,34,259.0,34.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Best Resources to Learn Data Analytics in 2025,Tuesday,Morning,407,12853,657,1607.0,83.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Best Resources to Learn Data Visualization in 2025,Tuesday,Morning,268,9745,298,650.0,20.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Best Resources to Learn Excel in 2025,Tuesday,Morning,289,10759,546,490.0,25.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Best Resources to Learn Python in 2025,Tuesday,Morning,309,18020,700,622.0,25.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Best Resources to Learn SQL in 2025,Tuesday,Morning,371,21658,814,602.0,23.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Practice for General Technical Interviews | Analyst Builder,Tuesday,Morning,621,4307,166,101.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Lie with Data | Percentages and Baseline Numbers,Tuesday,Morning,318,4361,216,56.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
1 Million YouTube Play Button Unboxing!,Tuesday,Morning,460,3073,236,37.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Maven Analytics + Analyst Builder Lifetime Access (Ends March 31st),Monday,Morning,315,8613,254,101.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Lie with Data | Misleading Graphs,Tuesday,Morning,326,5250,281,58.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Where to find the Best Healthcare Data,Tuesday,Morning,471,7421,394,75.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
What is Data Cleaning? | Data Fundamentals for Beginners,Tuesday,Morning,424,21434,756,169.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
