title,published_weekday,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
Twitter making me tear up over here 🥹,Friday,Friday,Morning,16,7502,305,16.0,1.0,[],0
#DataAnalyst #AnalystBuilder #SQL,Friday,Friday,Morning,38,21921,1515,47.0,4.0,[],0
What is Healthcare Analytics?,Tuesday,Tuesday,Morning,656,26399,1303,220.0,11.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
1 Million Subscriber Livestream!! Giveaways + Chat,Wednesday,Wednesday,Afternoon,6014,10268,675,98.0,7.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",Tuesday,Tuesday,Morning,916,8534,402,81.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Become a Healthcare Analyst in 2025,Tuesday,Tuesday,Morning,1072,26547,1331,235.0,12.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Live Data Analyst Q&A #3,Saturday,Saturday,Morning,3738,3100,100,2.0,1.0,[],0
Nobody cares... so just do it!,Thursday,Thursday,Morning,36,18565,1828,79.0,8.0,[],0
Data Analyst vs Business Analyst,Friday,Friday,Morning,59,131403,6998,215.0,12.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Lie with Data | Biased Data Collection,Tuesday,Tuesday,Morning,262,3094,100,62.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Lie with Data | Correlations,Tuesday,Tuesday,Morning,213,3258,126,58.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Lie with Data | Cherry Picking Data,Tuesday,Tuesday,Morning,252,3645,152,57.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Lie with Data | Averages,Tuesday,Tuesday,Morning,407,4150,216,59.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Data Analyst Interviews | Salary Negotiation,Wednesday,Wednesday,Morning,337,27727,857,16.0,1.0,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'Data Analyst Salary', 'Data Analyst Salary Negotation', 'Salary Negotiation', 'How to negotiate salary']",0
Top 5 Most Common Excel Functions in Excel,Tuesday,Tuesday,Morning,1007,8957,379,25.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
#DataAnalysis #DataAnalyst,Thursday,Thursday,Morning,53,20759,1485,32.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Data Analyst Q/A Livestream + Special Guest! | December Livestream,Saturday,Saturday,Morning,4968,5107,166,6.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,Friday,Friday,Morning,3728,4749,191,4.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', '100k livestream', 'alex the analyst 100k']",0
Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,Thursday,Thursday,Morning,1665,15504,497,10.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst industries', 'data science industries', 'best data analyst industries', 'best data science industries', 'data industries', 'best data industries']",0
Intermediate SQL Tutorial | Aliasing,Thursday,Thursday,Morning,372,155782,4098,85.0,3.0,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data analyst with no degree', 'SQL aliasing', 'Aliasing in SQL', 'Data analyst SQL']",0
SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,Saturday,Saturday,Evening,577,1472325,18688,761.0,10.0,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analytics', 'SQL Basics', 'Basics of SQL', 'SQL for Beginners', 'SQL Basics for Beginners', 'SQL for Data Analysts', 'sql tutorial', 'sql tutorial for beginnners', 'sql for data analysts', 'sql for data analyst', 'sql beginner tutorial', 'SQL Server management studio', 'SQL Server Management studio tutorial', 'SQL Create table', 'SQL Create table tutorial', 'SQL Insert into', 'SQL insert into tutorial', 'Sql basics for Data Analysts']",0
Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,Wednesday,Wednesday,Morning,454,26059,853,14.0,1.0,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst Salary', 'Data Analyst Salary 2020', 'Data Analyst Fact Check', 'Data Analyst Fact Checking', 'The Career Force', 'Data Analyst The Career Force']",0
Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,Friday,Friday,Afternoon,360,15125,643,8.0,1.0,"['Data Analyst', 'How to become a data analyst', 'Data Analyst Jobs', 'Data Analyst Job', 'Working with a Recruiter', 'Working with a LinkedIn Recruiter', 'Using Recruiter to get Job', 'How to work with a recruiter', 'Data Analyst Recruiter', 'Data Analyst Skills', 'Linkedin Recruiter']",0
250k Subscriber Live Stream!!,Tuesday,Tuesday,Morning,4539,4168,156,4.0,1.0,"['Alex The Analyst', 'Live Stream', '250k subscriber live stream']",0
We did our best,Thursday,Thursday,Morning,9,7119,239,15.0,1.0,[],0
#wife #careerchange #dataanalysis,Friday,Friday,Morning,59,20874,1940,31.0,3.0,[],0
What are KPIs and Metrics? | Data Fundamental for Beginners,Tuesday,Tuesday,Morning,346,17079,871,111.0,6.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
What is Data? | Data Fundamentals for Beginners,Tuesday,Tuesday,Morning,416,17412,812,108.0,6.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,Tuesday,Tuesday,Morning,2092,8751,303,52.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Most Commonly Asked Questions by Aspiring Data Analysts,Tuesday,Tuesday,Morning,718,14890,722,85.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
My Career Progression 7+ Years | Recreational Therapist to Data Analyst | Alex The Analyst Show 27,Tuesday,Tuesday,Morning,2237,8451,373,47.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",Tuesday,Tuesday,Morning,6097,21144,642,108.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",Tuesday,Tuesday,Morning,4637,15159,377,75.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
"Ultimate Data Analyst Bootcamp [24 Hours!] for FREE | SQL, Excel, Tableau, Power BI, Python, Azure",Tuesday,Tuesday,Early Morning,84768,558080,23849,2938.0,126.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Data analyst bootcamp', 'free data analyst bootcamp', 'data bootcamp', 'sql bootcamp', 'python bootcamp', 'excel bootcamp', 'bootcamp']",1
200k Livestream! | Shaving | Puppies | Giveaway,Thursday,Thursday,Morning,4892,3184,133,3.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', '200k livestream']",0
Advanced SQL Tutorial | String Functions + Use Cases,Thursday,Thursday,Morning,829,189554,4623,119.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'string functions', 'sql string functions', 'string functions in SQL']",0
Intermediate SQL Tutorial | Updating/Deleting Data,Thursday,Thursday,Morning,277,159276,3528,85.0,2.0,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'SQL Update', 'SQL Delete', 'SQL Update and Delete', 'Delete SQL', 'Update SQL', 'Update and Delete in SQL', 'SQL updating', 'SQL Delete data', 'Intermediate SQL tutorial', 'Intermediate SQL']",0
Installing R and R Studio | R for Data Analytics Series,Tuesday,Tuesday,Morning,359,259,34,259.0,34.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Best Resources to Learn Data Analytics in 2025,Tuesday,Tuesday,Morning,407,12853,657,1607.0,83.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Best Resources to Learn Data Visualization in 2025,Tuesday,Tuesday,Morning,268,9745,298,650.0,20.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Best Resources to Learn Excel in 2025,Tuesday,Tuesday,Morning,289,10759,546,490.0,25.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Best Resources to Learn Python in 2025,Tuesday,Tuesday,Morning,309,18020,700,622.0,25.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Best Resources to Learn SQL in 2025,Tuesday,Tuesday,Morning,371,21658,814,602.0,23.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Practice for General Technical Interviews | Analyst Builder,Tuesday,Tuesday,Morning,621,4307,166,101.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Lie with Data | Percentages and Baseline Numbers,Tuesday,Tuesday,Morning,318,4361,216,56.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
1 Million YouTube Play Button Unboxing!,Tuesday,Tuesday,Morning,460,3073,236,37.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Maven Analytics + Analyst Builder Lifetime Access (Ends March 31st),Monday,Monday,Morning,315,8613,254,101.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Lie with Data | Misleading Graphs,Tuesday,Tuesday,Morning,326,5250,281,58.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Where to find the Best Healthcare Data,Tuesday,Tuesday,Morning,471,7421,394,75.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
What is Data Cleaning? | Data Fundamentals for Beginners,Tuesday,Tuesday,Morning,424,21434,756,169.0,6.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
What is Data Collection? | Data Fundamentals for Beginners,Tuesday,Tuesday,Morning,283,12598,507,95.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
What are File Types? | Data Fundamentals for Beginners,Tuesday,Tuesday,Morning,387,8955,341,64.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
What are Data Types? | Data Fundamentals for Beginners,Tuesday,Tuesday,Morning,294,9872,406,67.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",Tuesday,Tuesday,Morning,7518,299800,5067,1421.0,25.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Coding with R and AI Now on Analyst Builder!,Tuesday,Tuesday,Morning,501,5967,185,28.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",Tuesday,Tuesday,Morning,5410,116335,2160,518.0,10.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
