tag,average_views_per_day,average_likes_per_day,video_count
alex the analyst,189.10689655172413,5.662068965517242,290
azure,85.0,2.0,5
best data analyst courses,54.2,2.8,5
data analyst,168.90173410404626,5.124277456647399,346
data analyst career,170.06451612903226,5.170087976539589,341
data analyst courses,77.57142857142857,3.7142857142857144,7
data analyst interview,36.0,1.4,5
data analyst job,172.11436950146629,5.202346041055718,341
data analyst job description,315.8,8.2,5
data analyst jobs,51.4,2.4,5
data analyst project,425.0,8.2,5
data analyst resume,64.85714285714286,2.142857142857143,7
data analyst salary,136.41666666666666,4.0,12
data analyst skills,186.77777777777777,5.333333333333333,9
data analyst with no degree,79.78571428571429,2.142857142857143,14
data analyst with no experience,114.0952380952381,3.4761904761904763,21
data analytics,172.52906976744185,5.188953488372093,344
data scientist,100.0,3.8,5
excel for beginners,347.2,7.6,5
excel for data analysis,347.2,7.6,5
excel for data analysts,452.42857142857144,9.714285714285714,7
excel for data science,433.0,9.333333333333334,6
excel tutorials,347.2,7.6,5
excel tutorials for beginners,347.2,7.6,5
how to become a data analyst,132.81944444444446,4.236111111111111,72
how to use excel,347.2,7.6,5
intermediate sql,159.4,3.4,5
livestream,34.06666666666667,1.9333333333333333,15
pandas,229.125,5.5,8
pandas tutorial,199.0,4.6,5
power bi,414.0,7.5,6
power bi tutorial,414.0,7.5,6
python,281.875,5.625,8
python web scraping,339.0,7.0,5
resume,84.0,2.6,5
sql for data analyst,338.6,5.6,5
sql for data analysts,316.2,5.3,10
sql interview questions,70.66666666666667,2.1666666666666665,6
sql technical interview questions,70.2,2.2,5
sql tutorial,322.5,5.333333333333333,6
tableau basic,282.4,6.8,5
tableau basics,282.4,6.8,5
tableau projects,282.4,6.8,5
tableau tutorial,282.4,6.8,5
tableau tutorial for beginners,282.4,6.8,5
tableau tutorials,282.4,6.8,5
tableau tutorials for beginner,282.4,6.8,5
tableau tutorials for data analysts,282.4,6.8,5
tableau tutorials for data scientists,282.4,6.8,5
technical interview questions,59.2,2.0,5
