video_id,title,published_at,views,likes,comments,tags,duration,duration_seconds,playlist_title
-Z2KjOUcvTA,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-07T14:31:54Z,2414,101,14,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",PT1H5M44S,3944,Data Analyst Q&A
v5jasYkmwZI,Standardizing and Parsing Dates in R  using Lubridate | R for Data Analytics Series,2025-08-05T12:01:44Z,1213,33,2,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",PT8M26S,506,
kqhJff8ruKw,Traditional applying to jobs is dead.,2025-08-01T12:53:29Z,13869,549,23,[],PT58S,58,
QR8kxf925IQ,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-31T14:45:09Z,3304,146,12,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",PT1H10M11S,4211,Data Analyst Q&A
klKWFqsqFeI,Handling Missing Data in R | R for Data Analytics Series,2025-07-29T12:01:31Z,1659,49,7,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",PT13M10S,790,
XIWe4vCtHcY,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-24T14:06:55Z,3755,141,6,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",PT1H4M8S,3848,Data Analyst Q&A
PqCp1f0RIaU,Don’t jump into Power BI first,2025-07-23T12:47:30Z,27105,1225,33,[],PT48S,48,
0B-lz9VQkYs,Grouping and Aggregating Data in R | R for Data Analytics Series,2025-07-22T12:00:02Z,1867,36,5,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",PT8M17S,497,
_YG8b1g-QJA,Getting Buy-in is a very difficult skill to learn,2025-07-18T12:11:49Z,5490,172,5,[],PT51S,51,
UT_hTGge_wc,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-17T14:41:40Z,4522,200,14,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",PT1H22M49S,4969,Data Analyst Q&A
A42T_b0gwF4,Filtering and Ordering Data in R | R for Data Analytics Series,2025-07-15T12:00:18Z,2207,61,6,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",PT13M47S,827,
8NfozskpBtY,If I got hired today here’s exactly what I would do!,2025-07-11T11:34:46Z,12113,636,10,[],PT1M13S,73,
lpK71OwmG0s,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-10T14:21:00Z,5134,237,19,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",PT1H16M18S,4578,Data Analyst Q&A
QC1Jased-PA,Reading and Writing Files in R | R for Data Analytics Series,2025-07-08T12:00:56Z,1924,64,6,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",PT10M20S,620,
O5nQKzBb0oc,Operators in R | R for Data Analytics Series,2025-07-01T12:00:58Z,3334,88,7,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",PT11M48S,708,
73S2SJSTgQU,"Basics of R | Environment, Variables, Data Types | R for Data Analytics Series",2025-06-24T12:00:13Z,4975,103,9,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",PT11M29S,689,
TsnGd6p9oTk,Installing R and R Studio | R for Data Analytics Series,2025-06-17T12:00:48Z,6407,178,13,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",PT5M59S,359,
DsI1vG-kXR8,Best Resources to Learn Data Analytics in 2025,2025-06-10T12:00:19Z,22323,929,42,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",PT6M47S,407,
