video_id;title;published_at;views;likes;comments;tags;duration_seconds;playlist_title;published_us_est;published_year;published_month;published_quarter;published_weekday;published_hour;like_ratio;comment_ratio;published_time_of_day;is_short
FGC0cCAgGu0;Twitter making me tear up over here 🥹;2024-02-23 13:34:27;8052;313;12;[];16;;2024-02-23 08:34:27;2024;2;Q1;Friday;8;0.0389;0.0015;Morning;t
YDvJqgBv0Uc;#Recruiters #dataanalysis #data;2023-08-03 11:56:30;17598;1178;24;[];58;;2023-08-03 07:56:30;2023;8;Q3;Thursday;7;0.0669;0.0014;Morning;t
PqCp1f0RIaU;Don’t jump into Power BI first;2025-07-23 12:47:30;43577;1701;37;[];48;;2025-07-23 08:47:30;2025;7;Q3;Wednesday;8;0.039;0.0008;Morning;t
xmVyaT-RuVo;Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering;2024-09-11 03:20:13;6013;198;8;[];4516;;2024-09-10 23:20:13;2024;9;Q3;Tuesday;23;0.0329;0.0013;Evening;f
hgp91KvbJV4;How to Lie with Data | Misleading Graphs;2025-03-18 12:01:07;5615;287;22;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];326;;2025-03-18 08:01:07;2025;3;Q1;Tuesday;8;0.0511;0.0039;Morning;f
QzLz-W29Tww;How to Start a Data YouTube Channel;2023-10-24 12:00:30;9940;436;47;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];657;;2023-10-24 08:00:30;2023;10;Q4;Tuesday;8;0.0439;0.0047;Morning;f
XIWe4vCtHcY;Alex The Analyst Q/A Livestream | Come Ask Me Anything;2025-07-24 14:06:55;3791;141;6;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream'];3848;{'Data Analyst Q&A'};2025-07-24 10:06:55;2025;7;Q3;Thursday;10;0.0372;0.0016;Morning;f
Hsi2BG0SOiQ;Truth About Big Companies | Told by a Fortune 500 Data Analyst;2020-01-21 03:52:15;9867;356;20;['Working at a big company', 'Big company data analyst', 'Data analyst', 'Data analyst at big company', 'Become a data analyst', 'Data analyst with no experience', 'how to learn to become a data analyst'];345;;2020-01-20 22:52:15;2020;1;Q1;Monday;22;0.0361;0.002;Evening;f
kqhJff8ruKw;Traditional applying to jobs is dead.;2025-08-01 12:53:29;16016;624;29;[];58;;2025-08-01 08:53:29;2025;8;Q3;Friday;8;0.039;0.0018;Morning;t
TP2OJuZhbIQ;Things I Learned as a Data Analyst p1;2025-08-15 11:46:04;6529;225;12;[];38;;2025-08-15 07:46:04;2025;8;Q3;Friday;7;0.0345;0.0018;Morning;t
tnz72ywhCoo;Coding with R and AI Now on Analyst Builder!;2024-11-12 13:01:10;6200;185;16;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];501;;2024-11-12 08:01:10;2024;11;Q4;Tuesday;8;0.0298;0.0026;Morning;f
klKWFqsqFeI;Handling Missing Data in R | R for Data Analytics Series;2025-07-29 12:01:31;1857;55;7;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];790;;2025-07-29 08:01:31;2025;7;Q3;Tuesday;8;0.0296;0.0038;Morning;f
Le35Qsgs2lM;#wife #careerchange #dataanalysis;2023-08-11 13:13:22;21231;1960;52;[];59;;2023-08-11 09:13:22;2023;8;Q3;Friday;9;0.0923;0.0024;Morning;t
1ql4kNv0_qY;Where to find the Best Healthcare Data;2025-03-11 12:00:02;8349;430;24;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];471;;2025-03-11 08:00:02;2025;3;Q1;Tuesday;8;0.0515;0.0029;Morning;f
6lQzbk6_OTw;Top 3 Data Analyst Skills in 2020;2020-01-17 14:31:39;31449;1486;141;['Top skills for data analyst', 'Top 3 skills for Data Analyst', 'How to become a data analyst', 'Data analyst', 'Data Analyst Skills', 'Top Data Analyst Skills', 'Data Analyst Skills for beginner', 'Skills to become data analyst'];160;;2020-01-17 09:31:39;2020;1;Q1;Friday;9;0.0473;0.0045;Morning;f
UOBTLzWY1vs;#DataAnalyst #AnalystBuilder #SQL;2024-03-01 13:43:29;23089;1560;19;[];38;;2024-03-01 08:43:29;2024;3;Q1;Friday;8;0.0676;0.0008;Morning;t
QR8kxf925IQ;Alex The Analyst Q/A Livestream | Come Ask Me Anything;2025-07-31 14:45:09;3409;149;13;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream'];4211;{'Data Analyst Q&A'};2025-07-31 10:45:09;2025;7;Q3;Thursday;10;0.0437;0.0038;Morning;f
ya28cb3zFGE;Data Analyst Salary | 100k with No Experience;2020-01-23 03:16:09;66398;2247;220;['Data Analyst Salary', 'Data analyst with no experience', 'how to become a data analyst', 'Data analyst', 'Data Analyst fortune 500', 'Data Analyst how to', 'Data analyst beginner', 'Data Analyst Salary | 100k with No Experience', '100k with no experience', 'data science', 'data scientist', 'business analyst', 'Data analyst salary with no experience', 'data analyst salary with no degree'];303;;2020-01-22 22:16:09;2020;1;Q1;Wednesday;22;0.0338;0.0033;Evening;f
L-QnW_BZT3c;Live Portfolio Review with Alex the Analyst!  | Live Webinar;2023-01-25 17:14:49;17832;633;23;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];4217;;2023-01-25 12:14:49;2023;1;Q1;Wednesday;12;0.0355;0.0013;Afternoon;f
5y7tLNPVJPA;We did our best;2024-02-08 13:59:09;7586;246;5;[];9;;2024-02-08 08:59:09;2024;2;Q1;Thursday;8;0.0324;0.0007;Morning;t
1cfrQLoJMPI;Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau;2022-09-13 10:30:00;60610;2182;96;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'portfolio projects', 'portfolio projects for data analysts', 'data analyst portfolio projects', 'data science portfolio project', 'coursera guided projects', 'coursera portfolio projects'];501;;2022-09-13 06:30:00;2022;9;Q3;Tuesday;6;0.036;0.0016;Morning;f
uHJFJUIYNAo;Understanding Your Data Analyst Salary Offer | What To Know Before Accepting;2022-02-01 11:30:10;21181;720;61;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst salary', 'salary for data analyst', 'salary negotiations', 'tech salary', 'analyst salary'];450;;2022-02-01 06:30:10;2022;2;Q1;Tuesday;6;0.034;0.0029;Morning;f
ho2vzKPAD50;Live Data Analyst Q&A #3;2020-08-29 14:37:52;3139;101;43;[];3738;{'Data Analyst Q&A'};2020-08-29 10:37:52;2020;8;Q3;Saturday;10;0.0322;0.0137;Morning;f
wcKzdRVsMOw;Switching Careers to Become a Data Analyst | How I Made the Switch;2020-02-11 15:03:18;50964;1827;252;['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Switching Careers to Become a Data Analyst', 'Becoming a Data Analyst with No Experience', 'How I became a Data Analyst', 'Switch Careers to Data Analyst', 'Data Analyst from different Career', 'How to Become Data Analyst from Different Job', 'Entry Level Data Analyst', 'Junior Data Analyst Jobs', 'Career Change to Data Analyst'];251;;2020-02-11 10:03:18;2020;2;Q1;Tuesday;10;0.0358;0.0049;Morning;f
Ns-8Jsa3mEM;Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples;2020-02-06 16:00:52;127035;3609;104;['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'Data Analyst Resume', 'Complete guide to Creating a Data Analyst Resume', 'Data Analyst Resume Tips', 'Data Analyst Resume Templates', 'Data Analyst Resume Examples', 'Data Analyst Resume Guide', 'Creating a Resume', 'Resume for Data Analyst', 'Resume for Data Analysts', 'Resume to become Data Analyst', 'Resume for Data Analytics', 'Resume'];678;{'Data Analyst Resume'};2020-02-06 11:00:52;2020;2;Q1;Thursday;11;0.0284;0.0008;Morning;f
4rfr6A3lO-Y;Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst;2020-01-30 14:07:55;82724;1782;63;['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'Data Analyst Resume', 'My Data Analyst Resume', 'Fortune 500 Data Analyst Resume', 'Resume', 'Business Analyst Resume', 'Data Science Resume', 'Data Analyst for Beginners', 'Data Analyst for Beginners Resume'];453;{'Data Analyst Resume'};2020-01-30 09:07:55;2020;1;Q1;Thursday;9;0.0215;0.0008;Morning;f
OTq2NRy_AGs;Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst;2020-01-25 16:38:39;16072;432;23;['Data Analyst', 'How to become a Data Analyst', 'Big vs Small', 'Large vs small', 'Big vs small company', 'Working at a big company vs small company', 'Working at a big company', 'Working at a small company', 'Data Science', 'Data Scientist', 'business analyst', 'Big company salary', 'Small company salary', 'Corporate at big company', 'Corporate at small company', 'coworkers at small company', 'coworkers at big company'];350;;2020-01-25 11:38:39;2020;1;Q1;Saturday;11;0.0269;0.0014;Morning;f
DlEkWd-8VXA;250k Subscriber Live Stream!!;2022-07-26 13:19:48;4170;156;11;['Alex The Analyst', 'Live Stream', '250k subscriber live stream'];4539;;2022-07-26 09:19:48;2022;7;Q3;Tuesday;9;0.0374;0.0026;Morning;f
zilfrWwbteQ;7 Ways to Use ChatGPT for Analytics | Webinar;2023-04-18 16:18:50;39413;1078;31;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];4135;;2023-04-18 12:18:50;2023;4;Q2;Tuesday;12;0.0274;0.0008;Afternoon;f
_2OknmkngkQ;Data Analyst Q/A Livestream + Special Guest! | December Livestream;2022-12-17 14:16:05;5113;166;15;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream'];4968;{'Data Analyst Q&A'};2022-12-17 09:16:05;2022;12;Q4;Saturday;9;0.0325;0.0029;Morning;f
D6XNlTfglW4;Intermediate SQL Tutorial | Partition By;2020-12-01 12:04:43;312777;6955;204;['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Partition by', 'Partition by sql', 'SQL Partitions', 'SQL Partition by', 'Partitions sql'];254;{'Intermediate SQL Tutorials'};2020-12-01 07:04:43;2020;12;Q4;Tuesday;7;0.0222;0.0007;Morning;f
XmFhpoS6Etk;Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5;2020-10-08 14:26:27;7651;376;176;['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Imposter Syndrome', 'Imposter Syndrome in Tech', 'feeling like an imposter at work', 'Data Analyst Imposter Syndrome', 'Data Science Imposter Syndrome', 'Data Scientist Imposter Syndrome'];1556;{'Alex The Analyst Show'};2020-10-08 10:26:27;2020;10;Q4;Thursday;10;0.0491;0.023;Morning;f
Dk7he_yEs4U;Intermediate SQL Tutorial | Aliasing;2020-06-04 14:00:10;156916;4108;105;['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data analyst with no degree', 'SQL aliasing', 'Aliasing in SQL', 'Data analyst SQL'];372;{'Intermediate SQL Tutorials'};2020-06-04 10:00:10;2020;6;Q2;Thursday;10;0.0262;0.0007;Morning;f
yhlqKsYpzgE;Alex The Analyst Q/A Livestream | Come Ask Me Anything;2025-08-21 14:09:29;2636;121;11;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream'];3673;{'Data Analyst Q&A'};2025-08-21 10:09:29;2025;8;Q3;Thursday;10;0.0459;0.0042;Morning;f
kk5zEOQzTmQ;Data Visualization and Presentation in R | R for Data Analytics Series;2025-08-19 12:01:22;2521;74;12;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];1264;;2025-08-19 08:01:22;2025;8;Q3;Tuesday;8;0.0294;0.0048;Morning;f
Mi8st3hyMH8;Alex The Analyst Q/A Livestream | Come Ask Me Anything;2025-08-14 14:18:24;2882;112;8;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream'];3967;{'Data Analyst Q&A'};2025-08-14 10:18:24;2025;8;Q3;Thursday;10;0.0389;0.0028;Morning;f
vAKs1-EEJ38;How to Remove Duplicates in an R Dataframe | R for Data Analytics Series;2025-08-12 12:01:49;1826;63;3;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];488;;2025-08-12 08:01:49;2025;8;Q3;Tuesday;8;0.0345;0.0016;Morning;f
-Z2KjOUcvTA;Alex The Analyst Q/A Livestream | Come Ask Me Anything;2025-08-07 14:31:54;3113;112;19;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream'];3944;{'Data Analyst Q&A'};2025-08-07 10:31:54;2025;8;Q3;Thursday;10;0.036;0.0061;Morning;f
v5jasYkmwZI;Standardizing and Parsing Dates in R  using Lubridate | R for Data Analytics Series;2025-08-05 12:01:44;1573;39;6;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];506;;2025-08-05 08:01:44;2025;8;Q3;Tuesday;8;0.0248;0.0038;Morning;f
0B-lz9VQkYs;Grouping and Aggregating Data in R | R for Data Analytics Series;2025-07-22 12:00:02;1997;42;5;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst'];497;;2025-07-22 08:00:02;2025;7;Q3;Tuesday;8;0.021;0.0025;Morning;f
_YG8b1g-QJA;Getting Buy-in is a very difficult skill to learn;2025-07-18 12:11:49;6065;191;5;[];51;;2025-07-18 08:11:49;2025;7;Q3;Friday;8;0.0315;0.0008;Morning;t
UT_hTGge_wc;Alex The Analyst Q/A Livestream | Come Ask Me Anything;2025-07-17 14:41:40;4550;200;14;['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream'];4969;{'Data Analyst Q&A'};2025-07-17 10:41:40;2025;7;Q3;Thursday;10;0.044;0.0031;Morning;f
