video_id,title,published_at,views,likes,comments,duration_seconds,published_us_est,published_year,published_month,published_quarter,published_weekday,published_hour,like_ratio,comment_ratio,published_time_of_day,is_short,days_since_publish,views_per_day,likes_per_day,duration_bucket,playlist,top_category
FGC0cCAgGu0,Twitter making me tear up over here 🥹,2/23/2024 14:34,8052,313,12,16,2/23/2024 8:34,2024,2,Q1,Friday,8,0.0389,0.0015,Morning,t,481,17,1,Short,,short
YDvJqgBv0Uc,#Recruiters #dataanalysis #data,8/3/2023 13:56,17598,1178,24,58,8/3/2023 7:56,2023,8,Q3,Thursday,7,0.0669,0.0014,Morning,t,685,26,2,Short,,short
PqCp1f0RIaU,Don’t jump into Power BI first,7/23/2025 14:47,43577,1701,37,48,7/23/2025 8:47,2025,7,Q3,Wednesday,8,0.039,0.0008,Morning,t,1,43577,1701,Short,,short
xmVyaT-RuVo,Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,9/11/2024 5:20,6013,198,8,4516,9/10/2024 23:20,2024,9,Q3,Tuesday,23,0.0329,0.0013,Evening,f,280,22,1,Very Long,,
hgp91KvbJV4,How to Lie with Data | Misleading Graphs,3/18/2025 13:01,5615,287,22,326,3/18/2025 8:01,2025,3,Q1,Tuesday,8,0.0511,0.0039,Morning,f,92,62,4,Short,,
QzLz-W29Tww,How to Start a Data YouTube Channel,10/24/2023 14:00,9940,436,47,657,10/24/2023 8:00,2023,10,Q4,Tuesday,8,0.0439,0.0047,Morning,f,603,17,1,Medium,,
Hsi2BG0SOiQ,Truth About Big Companies | Told by a Fortune 500 Data Analyst,1/21/2020 4:52,9867,356,20,345,1/20/2020 22:52,2020,1,Q1,Monday,22,0.0361,0.002,Evening,f,1975,5,1,Short,,
kqhJff8ruKw,Traditional applying to jobs is dead.,8/1/2025 14:53,16016,624,29,58,8/1/2025 8:53,2025,8,Q3,Friday,8,0.039,0.0018,Morning,t,1,16016,624,Short,,short
TP2OJuZhbIQ,Things I Learned as a Data Analyst p1,8/15/2025 13:46,6529,225,12,38,8/15/2025 7:46,2025,8,Q3,Friday,7,0.0345,0.0018,Morning,t,1,6529,225,Short,,short
tnz72ywhCoo,Coding with R and AI Now on Analyst Builder!,11/12/2024 14:01,6200,185,16,501,11/12/2024 8:01,2024,11,Q4,Tuesday,8,0.0298,0.0026,Morning,f,218,29,1,Short,,
klKWFqsqFeI,Handling Missing Data in R | R for Data Analytics Series,7/29/2025 14:01,1857,55,7,790,7/29/2025 8:01,2025,7,Q3,Tuesday,8,0.0296,0.0038,Morning,f,1,1857,55,Medium,,
Le35Qsgs2lM,#wife #careerchange #dataanalysis,8/11/2023 15:13,21231,1960,52,59,8/11/2023 9:13,2023,8,Q3,Friday,9,0.0923,0.0024,Morning,t,677,32,3,Short,,short
1ql4kNv0_qY,Where to find the Best Healthcare Data,3/11/2025 13:00,8349,430,24,471,3/11/2025 8:00,2025,3,Q1,Tuesday,8,0.0515,0.0029,Morning,f,99,85,5,Short,,
6lQzbk6_OTw,Top 3 Data Analyst Skills in 2020,1/17/2020 15:31,31449,1486,141,160,1/17/2020 9:31,2020,1,Q1,Friday,9,0.0473,0.0045,Morning,f,1979,16,1,Short,,
UOBTLzWY1vs,#DataAnalyst #AnalystBuilder #SQL,3/1/2024 14:43,23089,1560,19,38,3/1/2024 8:43,2024,3,Q1,Friday,8,0.0676,0.0008,Morning,t,474,49,4,Short,,short
ya28cb3zFGE,Data Analyst Salary | 100k with No Experience,1/23/2020 4:16,66398,2247,220,303,1/22/2020 22:16,2020,1,Q1,Wednesday,22,0.0338,0.0033,Evening,f,1973,34,2,Short,,
L-QnW_BZT3c,Live Portfolio Review with Alex the Analyst!  | Live Webinar,1/25/2023 18:14,17832,633,23,4217,1/25/2023 12:14,2023,1,Q1,Wednesday,12,0.0355,0.0013,Afternoon,f,875,21,1,Very Long,,
5y7tLNPVJPA,We did our best,2/8/2024 14:59,7586,246,5,9,2/8/2024 8:59,2024,2,Q1,Thursday,8,0.0324,0.0007,Morning,t,496,16,1,Short,,short
1cfrQLoJMPI,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",9/13/2022 12:30,60610,2182,96,501,9/13/2022 6:30,2022,9,Q3,Tuesday,6,0.036,0.0016,Morning,f,1009,61,3,Short,,
uHJFJUIYNAo,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2/1/2022 12:30,21181,720,61,450,2/1/2022 6:30,2022,2,Q1,Tuesday,6,0.034,0.0029,Morning,f,1233,18,1,Short,,
wcKzdRVsMOw,Switching Careers to Become a Data Analyst | How I Made the Switch,2/11/2020 16:03,50964,1827,252,251,2/11/2020 10:03,2020,2,Q1,Tuesday,10,0.0358,0.0049,Morning,f,1954,27,1,Short,,
OTq2NRy_AGs,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,1/25/2020 17:38,16072,432,23,350,1/25/2020 11:38,2020,1,Q1,Saturday,11,0.0269,0.0014,Morning,f,1971,9,1,Short,,
DlEkWd-8VXA,250k Subscriber Live Stream!!,7/26/2022 15:19,4170,156,11,4539,7/26/2022 9:19,2022,7,Q3,Tuesday,9,0.0374,0.0026,Morning,f,1058,4,1,Very Long,,
zilfrWwbteQ,7 Ways to Use ChatGPT for Analytics | Webinar,4/18/2023 18:18,39413,1078,31,4135,4/18/2023 12:18,2023,4,Q2,Tuesday,12,0.0274,0.0008,Afternoon,f,792,50,2,Very Long,,
kk5zEOQzTmQ,Data Visualization and Presentation in R | R for Data Analytics Series,8/19/2025 14:01,2521,74,12,1264,8/19/2025 8:01,2025,8,Q3,Tuesday,8,0.0294,0.0048,Morning,f,1,2521,74,Medium,,
